ayacucho,caicara,ciudad_bolivar,palua
43.16,23.43,3.65,1.52
43.36,23.67,3.87,1.64
43.49,24.07,4.17,1.77
43.66,24.24,4.52,1.93
43.76,24.51,4.82,2.05
43.90,24.67,5.07,2.17
44.03,24.97,5.30,2.30
44.08,25.09,5.50,2.29
44.09,25.12,5.72,2.34
44.07,25.16,5.89,2.44
44.07,25.21,6.07,2.55
44.10,25.24,6.16,2.71
44.23,25.27,6.27,2.72
44.38,25.30,6.28,2.83
44.51,25.32,6.33,2.90
44.64,25.36,6.36,2.92
44.78,25.46,6.40,2.97
44.86,25.57,6.53,3.01
45.01,25.66,6.68,3.07
45.26,25.81,6.83,3.21
45.48,25.94,6.99,3.35
45.71,26.05,7.15,3.51
45.93,26.32,7.31,3.57
46.21,26.46,7.47,3.61
46.36,26.62,7.64,3.81
46.56,26.86,7.81,3.93
46.72,27.04,7.99,3.93
46.81,27.27,8.14,4.23
46.88,27.53,8.45,4.52
46.96,27.70,8.71,4.75
46.98,27.79,8.85,4.90
47.06,27.88,9.01,5.07
47.14,28.01,9.14,5.22
47.24,28.10,9.24,5.31
47.28,28.14,9.32,5.43
47.31,28.20,9.45,5.80
47.35,28.32,9.55,5.94
47.39,28.23,9.60,6.02
47.43,28.28,9.60,5.95
47.54,28.38,9.64,6.05
47.67,28.43,9.68,6.08
47.77,28.58,9.78,6.17
47.84,28.68,9.91,6.31
47.88,28.78,10.06,6.35
47.97,28.88,10.24,6.43
48.06,28.98,10.40,6.55
48.16,29.18,10.53,6.68
48.28,29.28,10.65,6.77
48.44,29.38,10.79,6.90
48.65,29.48,10.99,7.10
48.83,29.68,11.13,7.25
48.97,29.78,11.24,7.35
49.01,29.83,11.33,7.43
49.08,29.88,11.47,7.60
49.25,29.98,11.62,7.72
49.35,30.08,11.77,7.78
49.43,30.18,11.96,7.93
49.58,30.38,12.08,8.05
49.67,30.48,12.21,8.35
49.71,30.58,12.40,8.46
49.85,30.68,12.52,8.61
49.86,30.78,12.64,8.70
49.93,30.83,12.72,8.68
49.96,30.88,12.78,8.66
50.02,30.93,12.85,8.70
50.06,30.98,12.89,8.69
50.16,31.08,12.89,8.57
50.24,31.18,12.97,8.71
50.25,31.23,13.04,8.79
50.27,31.28,13.11,8.79
50.28,31.33,13.15,8.92
50.26,31.38,13.21,9.01
50.25,31.43,13.26,9.03
50.28,31.48,13.33,9.07
50.36,31.53,13.39,9.11
50.39,31.58,13.44,9.09
50.43,31.60,13.50,8.97
50.43,31.63,13.60,9.19
50.41,31.66,13.67,9.18
50.37,31.68,13.75,9.67
50.40,31.73,13.76,9.15
50.37,31.78,13.84,9.72
50.41,31.83,13.94,9.73
50.38,31.88,13.97,9.81
50.36,31.93,13.96,9.59
50.36,31.98,13.92,9.47
50.35,31.98,13.94,9.67
50.36,31.98,14.01,9.79
50.36,31.98,14.07,9.87
50.41,31.98,14.15,9.99
50.43,32.03,14.23,10.03
50.46,32.03,14.26,9.94
50.47,32.07,14.32,10.03
50.47,32.13,14.32,9.91
50.47,32.18,14.35,9.97
50.50,32.23,14.40,10.23
50.50,32.28,14.46,10.30
50.51,32.33,14.50,10.14
50.51,32.38,14.52,10.14
50.58,32.48,14.54,10.10
50.71,32.53,14.58,10.09
50.82,32.58,14.67,10.20
50.93,32.68,14.77,10.25
51.00,32.78,14.89,10.31
51.04,32.83,14.97,10.33
51.06,32.88,15.04,10.37
51.06,32.93,15.15,10.54
51.13,32.98,15.24,10.55
51.14,33.03,15.30,10.57
51.14,33.08,15.39,10.75
51.14,33.18,15.47,10.95
51.14,33.23,15.49,10.93
51.11,33.23,15.48,10.76
51.06,33.28,15.45,10.64
51.04,33.28,15.43,10.56
50.97,33.33,15.41,10.55
50.95,33.38,15.38,10.53
50.95,33.33,15.41,10.50
50.95,33.33,15.44,10.52
50.95,33.28,15.47,10.65
50.95,33.28,15.49,10.68
50.95,33.23,15.51,10.89
50.94,33.23,15.54,11.00
50.93,33.23,15.56,11.04
50.93,33.23,15.56,11.05
50.96,33.18,15.53,10.87
50.96,33.18,15.48,10.77
